index,category,product,price_usdt,brand_slug,filename
1,AI Tools,Gemini Pro 18 Month 5TB,1.20,googlegemini,01_Gemini_Pro_18_Month_5TB.png
2,AI Tools,Google One Gemini Pro 18M 5TB (Activation Link),0.72,googlegemini,02_Google_One_Gemini_Pro_18M_5TB_Activation_Link.png
3,AI Tools,Gemini Pro 1 Year 5TB (Old Stable Mail),2.16,googlegemini,03_Gemini_Pro_1_Year_5TB_Old_Stable_Mail.png
4,AI Tools,Gemini FULL FARM PRO Pixel 1 Year (3-Day Warranty),2.40,googlegemini,04_Gemini_FULL_FARM_PRO_Pixel_1_Year_3_Day_Warranty.png
5,AI Tools,Google AI Pro 12 Month,18.12,google,05_Google_AI_Pro_12_Month.png
6,AI Tools,Perplexity PRO 1 Year,32.00,perplexity,06_Perplexity_PRO_1_Year.png
7,AI Tools,Perplexity Enterprise Pro Seat (1 Month),9.60,perplexity,07_Perplexity_Enterprise_Pro_Seat_1_Month.png
8,AI Tools,ChatGPT Plus 1 Month (Pre-made Account),1.76,openai,08_ChatGPT_Plus_1_Month_Pre_made_Account.png
9,AI Tools,ChatGPT Go 3 Month Offer,1.60,openai,09_ChatGPT_Go_3_Month_Offer.png
10,AI Tools,ChatGPT Plus UPI iCloud Account (7-Day Warranty),2.80,openai,10_ChatGPT_Plus_UPI_iCloud_Account_7_Day_Warranty.png
11,AI Tools,"Claude 100$ API Credits (30-Day, Firsthand Warranty)",2.80,anthropic,11_Claude_100_API_Credits_30_Day_Firsthand_Warranty.png
12,AI Tools,"Claude 500$ API Credits (30-Day, Firsthand Warranty)",10.40,anthropic,12_Claude_500_API_Credits_30_Day_Firsthand_Warranty.png
13,AI Tools,Claude Premium 6.25x 1 Month (25-Day Warranty),61.60,anthropic,13_Claude_Premium_6_25x_1_Month_25_Day_Warranty.png
14,AI Tools,Claude Premium 1 Month (Firsthand Warranty),56.80,anthropic,14_Claude_Premium_1_Month_Firsthand_Warranty.png
15,AI Tools,"Claude Premium Seat (1 Month, Firsthand Warranty)",59.40,anthropic,15_Claude_Premium_Seat_1_Month_Firsthand_Warranty.png
16,AI Tools,Grok 30-Day (5-Day Warranty),1.20,x,16_Grok_30_Day_5_Day_Warranty.png
17,AI Tools,Grok Super Account (9-10 Days),1.51,x,17_Grok_Super_Account_9_10_Days.png
18,AI Tools,Gamma Pro 12 Month,24.80,gamma,18_Gamma_Pro_12_Month.png
19,AI Tools,Manus Pro 12 Month,36.00,manus,19_Manus_Pro_12_Month.png
20,AI Tools,Higgsfield Pro 12 Month,60.00,higgsfield,20_Higgsfield_Pro_12_Month.png
21,AI Tools,"Leonardo.ai 8,500 Credits (No Seadance & MiniHead)",4.00,leonardo,21_Leonardo_ai_8_500_Credits_No_Seadance_MiniHead.png
22,AI Tools,"Heygen Pro 3 Month (Promo, No Warranty)",0.47,heygen,22_Heygen_Pro_3_Month_Promo_No_Warranty.png
23,AI Tools,QuillBot Premium 1 Month,1.92,quillbot,23_QuillBot_Premium_1_Month.png
24,AI Tools,ElevenLabs Creator 12 Month,40.00,elevenlabs,24_ElevenLabs_Creator_12_Month.png
25,AI Tools,Veo 3 Ultra Extension 45K Credits (1 Month / 30-Day Warranty),12.00,google,25_Veo_3_Ultra_Extension_45K_Credits_1_Month_30_Day_Warranty.png
26,Dev & Productivity,Cursor Pro 12 Month,68.40,cursor,26_Cursor_Pro_12_Month.png
27,Dev & Productivity,Replit Core 12 Month,25.60,replit,27_Replit_Core_12_Month.png
28,Dev & Productivity,Railway Hobby 12 Month,13.20,railway,28_Railway_Hobby_12_Month.png
29,Dev & Productivity,Supabase Pro 12 Month,34.40,supabase,29_Supabase_Pro_12_Month.png
